Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled,feature_type
ADCCM,0.8466411620722234,2.986259347627413,0.0024997176680387405,2.6021090401827625,True,True,non-shuffled,CP
Anaphase,0.7995371438590256,2.894750420851662,0.0024997176680387405,2.6021090401827625,True,True,non-shuffled,CP
Apoptosis,0.8710299831336421,2.9106973799249936,0.0024997176680387405,2.6021090401827625,True,True,non-shuffled,CP
Binuclear,0.659486770998327,2.51641642323319,0.0036757418886595693,2.4346549924617933,True,True,non-shuffled,CP
Elongated,0.8254788492485774,2.947433379148875,0.0024997176680387405,2.6021090401827625,True,True,non-shuffled,CP
Folded,0.7196567236286904,2.489012654784386,0.0036757418886595693,2.4346549924617933,True,True,non-shuffled,CP
Grape,0.9120700494516559,2.997336433705353,0.0024997176680387405,2.6021090401827625,True,True,non-shuffled,CP
Hole,0.7559382896824896,2.6490154509285952,0.002934202738884279,2.532509881857158,True,True,non-shuffled,CP
Interphase,0.5524849259964083,1.8615931167198687,0.014612880137747239,1.8352641779975196,True,True,non-shuffled,CP
Large,0.7770509635239881,2.7533767155134115,0.0024997176680387405,2.6021090401827625,True,True,non-shuffled,CP
Metaphase,0.7559904024800268,2.7934494757858417,0.0024997176680387405,2.6021090401827625,True,True,non-shuffled,CP
MetaphaseAlignment,0.826561633723914,2.9313027433648404,0.0024997176680387405,2.6021090401827625,True,True,non-shuffled,CP
OutOfFocus,0.9685630758471144,3.000434077045025,0.0024997176680387405,2.6021090401827625,True,True,non-shuffled,CP
Polylobed,0.7572250648020415,2.7906038695630557,0.0024997176680387405,2.6021090401827625,True,True,non-shuffled,CP
Prometaphase,0.8886778896421715,2.9629906414044056,0.0024997176680387405,2.6021090401827625,True,True,non-shuffled,CP
SmallIrregular,0.8011114899916372,2.8628992761458902,0.0024997176680387405,2.6021090401827625,True,True,non-shuffled,CP
neg_control,0.5757789092541706,1.5655974528131782,0.027189583013569506,1.5655974528131782,True,True,non-shuffled,CP
