Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled,feature_type
ADCCM,0.5148121016649955,0.5076329129908597,0.43805983248369335,0.35846656725195436,False,False,features_shuffled,CP_DP
Anaphase,0.5143490250106288,0.45909934763019733,0.43805983248369335,0.35846656725195436,False,False,features_shuffled,CP_DP
Apoptosis,0.5066822582062551,0.43585888587367644,0.43805983248369335,0.35846656725195436,False,False,features_shuffled,CP_DP
Binuclear,0.5045579077899391,0.40317543780383946,0.43805983248369335,0.35846656725195436,False,False,features_shuffled,CP_DP
Elongated,0.5101738170008282,0.46713680195872576,0.43805983248369335,0.35846656725195436,False,False,features_shuffled,CP_DP
Folded,0.5116653850095564,0.40723950422602545,0.43805983248369335,0.35846656725195436,False,False,features_shuffled,CP_DP
Grape,0.5088159140967883,0.39354895795156286,0.43805983248369335,0.35846656725195436,False,False,features_shuffled,CP_DP
Hole,0.5100896900099643,0.47510300663339605,0.43805983248369335,0.35846656725195436,False,False,features_shuffled,CP_DP
Interphase,0.5037926245079687,0.4449414816919969,0.43805983248369335,0.35846656725195436,False,False,features_shuffled,CP_DP
Large,0.5148303072047506,0.4828494821233385,0.43805983248369335,0.35846656725195436,False,False,features_shuffled,CP_DP
Metaphase,0.507985444672698,0.3808136823796175,0.43805983248369335,0.35846656725195436,False,False,features_shuffled,CP_DP
MetaphaseAlignment,0.5063208140819537,0.4483680022676563,0.43805983248369335,0.35846656725195436,False,False,features_shuffled,CP_DP
OutOfFocus,0.5073358504076516,0.49807615838922137,0.43805983248369335,0.35846656725195436,False,False,features_shuffled,CP_DP
Polylobed,0.5064768842975421,0.4979359033780361,0.43805983248369335,0.35846656725195436,False,False,features_shuffled,CP_DP
Prometaphase,0.5038053970243315,0.4547731266469059,0.43805983248369335,0.35846656725195436,False,False,features_shuffled,CP_DP
SmallIrregular,0.5023292162932749,0.35846656725195436,0.43805983248369335,0.35846656725195436,False,False,features_shuffled,CP_DP
neg_control,0.5054412884220544,0.42344527077648036,0.43805983248369335,0.35846656725195436,False,False,features_shuffled,CP_DP
