Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled,feature_type
ADCCM,0.511459638654785,0.4680960887796977,0.3993875156185931,0.39860551478503375,False,False,features_shuffled,CP
Anaphase,0.5171010603648865,0.4780466681225822,0.3993875156185931,0.39860551478503375,False,False,features_shuffled,CP
Apoptosis,0.5073837807220906,0.4479409017387832,0.3993875156185931,0.39860551478503375,False,False,features_shuffled,CP
Binuclear,0.5110133449222538,0.503845393826166,0.3993875156185931,0.39860551478503375,False,False,features_shuffled,CP
Elongated,0.5096130228883099,0.44692537937434934,0.3993875156185931,0.39860551478503375,False,False,features_shuffled,CP
Folded,0.5097068015283085,0.39860551478503375,0.3993875156185931,0.39860551478503375,False,False,features_shuffled,CP
Grape,0.5137323640099505,0.44139487726342763,0.3993875156185931,0.39860551478503375,False,False,features_shuffled,CP
Hole,0.5134216729246114,0.5364584699685928,0.3993875156185931,0.39860551478503375,False,False,features_shuffled,CP
Interphase,0.5031347709210001,0.43073248871006137,0.3993875156185931,0.39860551478503375,False,False,features_shuffled,CP
Large,0.5092501267247072,0.41606650416786584,0.3993875156185931,0.39860551478503375,False,False,features_shuffled,CP
Metaphase,0.5131897245130326,0.4418162662818602,0.3993875156185931,0.39860551478503375,False,False,features_shuffled,CP
MetaphaseAlignment,0.507884001313083,0.4802937765966806,0.3993875156185931,0.39860551478503375,False,False,features_shuffled,CP
OutOfFocus,0.5078825063645833,0.5398770045429349,0.3993875156185931,0.39860551478503375,False,False,features_shuffled,CP
Polylobed,0.502715784381508,0.4155562605457342,0.3993875156185931,0.39860551478503375,False,False,features_shuffled,CP
Prometaphase,0.5055604982845542,0.5009265908651692,0.3993875156185931,0.39860551478503375,False,False,features_shuffled,CP
SmallIrregular,0.5063030122785144,0.4214120095327106,0.3993875156185931,0.39860551478503375,False,False,features_shuffled,CP
neg_control,0.504363371442629,0.4131943188402388,0.3993875156185931,0.39860551478503375,False,False,features_shuffled,CP
