Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled,feature_type
ADCCM,0.5114188873299846,0.46916837960852836,0.4382392036249532,0.35828877429603434,False,False,phenotypes_shuffled,CP_DP
Anaphase,0.5139267893531991,0.47023603550789644,0.4382392036249532,0.35828877429603434,False,False,phenotypes_shuffled,CP_DP
Apoptosis,0.5039458840102352,0.38432316017125007,0.4385365327303212,0.3579942214489009,False,False,phenotypes_shuffled,CP_DP
Binuclear,0.5086847411972384,0.505945526151956,0.4382392036249532,0.35828877429603434,False,False,phenotypes_shuffled,CP_DP
Elongated,0.5116079097063198,0.46409837212827415,0.4382392036249532,0.35828877429603434,False,False,phenotypes_shuffled,CP_DP
Folded,0.5149894099582051,0.4157173506557379,0.4382392036249532,0.35828877429603434,False,False,phenotypes_shuffled,CP_DP
Grape,0.5125943554227024,0.412646436618627,0.4382392036249532,0.35828877429603434,False,False,phenotypes_shuffled,CP_DP
Hole,0.5106004697806484,0.4827317449802094,0.4382392036249532,0.35828877429603434,False,False,phenotypes_shuffled,CP_DP
Interphase,0.503658686027428,0.44068949896827087,0.4382392036249532,0.35828877429603434,False,False,phenotypes_shuffled,CP_DP
Large,0.5103524091640352,0.41945725289515223,0.4382392036249532,0.35828877429603434,False,False,phenotypes_shuffled,CP_DP
Metaphase,0.5055811765998339,0.34822499191587497,0.44851297174486854,0.34822499191587497,False,False,phenotypes_shuffled,CP_DP
MetaphaseAlignment,0.5056616664693167,0.4281439739918378,0.4382392036249532,0.35828877429603434,False,False,phenotypes_shuffled,CP_DP
OutOfFocus,0.5057971330637506,0.48526309268794443,0.4382392036249532,0.35828877429603434,False,False,phenotypes_shuffled,CP_DP
Polylobed,0.504582250107574,0.46620795663296616,0.4382392036249532,0.35828877429603434,False,False,phenotypes_shuffled,CP_DP
Prometaphase,0.5041889141461295,0.505090548479996,0.4382392036249532,0.35828877429603434,False,False,phenotypes_shuffled,CP_DP
SmallIrregular,0.5064891405222807,0.43801304964311394,0.4382392036249532,0.35828877429603434,False,False,phenotypes_shuffled,CP_DP
neg_control,0.5055535495340481,0.4369807832028686,0.4382392036249532,0.35828877429603434,False,False,phenotypes_shuffled,CP_DP
