Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled,feature_type
ADCCM,0.9913891948793071,1.3277764104119851,0.4996988525562484,0.30129164781389056,True,False,False,CP
Anaphase,0.9998971084798268,0.45341465361473976,0.685262267331443,0.16414318112714862,False,False,False,CP
Apoptosis,0.9998158393225592,0.6089007717494817,0.6305596846660957,0.2002737996628937,False,False,False,CP
Binuclear,0.9997411952477151,0.1824890147898415,0.7976858181494122,0.09816812908980557,False,False,False,CP
Elongated,0.9993587862918156,1.054619314472502,0.4996988525562484,0.30129164781389056,False,False,False,CP
Folded,0.9910704056762767,0.3154108564577977,0.685262267331443,0.16414318112714862,False,False,False,CP
Grape,0.997202478618495,0.10271585020652868,0.8387124474977601,0.07638691148417956,False,False,False,CP
Hole,0.9951662711521224,0.8159454331609879,0.6305596846660957,0.2002737996628937,False,False,False,CP
Interphase,0.9985428634231761,0.3250700242776178,0.685262267331443,0.16414318112714862,False,False,False,CP
Large,0.9992225623802116,0.7282321124138841,0.6305596846660957,0.2002737996628937,False,False,False,CP
Metaphase,0.9999290384014351,0.4214714693531622,0.685262267331443,0.16414318112714862,False,False,False,CP
MetaphaseAlignment,0.9989511903000401,0.2196206070400027,0.7886511883061599,0.10311503796856546,False,False,False,CP
OutOfFocus,0.9998426066999109,1.2255358280671498,0.4996988525562484,0.30129164781389056,False,False,False,CP
Polylobed,0.9997156820260112,0.1465432062597066,0.808750302398055,0.09218554393711388,False,False,False,CP
Prometaphase,0.9997743720135169,0.3384790282058877,0.685262267331443,0.16414318112714862,False,False,False,CP
SmallIrregular,0.9990323126338784,0.5856246810269108,0.6305596846660957,0.2002737996628937,False,False,False,CP
neg_control,0.9952965239239967,0.03202372159363027,0.9289156471039259,0.03202372159363024,False,False,False,CP
