Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled,feature_type
ADCCM,0.8177798102043633,0.27567299590607536,0.6297996331375301,0.20079759667882185,False,False,True,DP
Anaphase,0.7826194582384561,0.227126535401171,0.6297996331375301,0.20079759667882185,False,False,True,DP
Apoptosis,0.9239930586263138,0.2971902286173518,0.6297996331375301,0.20079759667882185,False,False,True,DP
Binuclear,0.8941214133952439,0.32295664933592555,0.6297996331375301,0.20079759667882185,False,False,True,DP
Elongated,0.8360166163160558,0.3037467185202294,0.6297996331375301,0.20079759667882185,False,False,True,DP
Folded,0.7247206603640313,0.3117630884816801,0.6297996331375301,0.20079759667882185,False,False,True,DP
Grape,0.7726290766642477,0.31703160391425317,0.6297996331375301,0.20079759667882185,False,False,True,DP
Hole,0.8430124543006702,0.2876796272513843,0.6297996331375301,0.20079759667882185,False,False,True,DP
Interphase,0.9455773794402708,0.2885193961407603,0.6297996331375301,0.20079759667882185,False,False,True,DP
Large,0.7959638693992339,0.3936665372225326,0.6297996331375301,0.20079759667882185,False,False,True,DP
Metaphase,0.781107716978936,0.2386150359391143,0.6297996331375301,0.20079759667882185,False,False,True,DP
MetaphaseAlignment,0.8935268824597069,0.35927462695900164,0.6297996331375301,0.20079759667882185,False,False,True,DP
OutOfFocus,0.9171680190208145,0.2745960640598301,0.6297996331375301,0.20079759667882185,False,False,True,DP
Polylobed,0.9372504978320041,0.2867282520106999,0.6297996331375301,0.20079759667882185,False,False,True,DP
Prometaphase,0.9345058141468207,0.2683894300317534,0.6297996331375301,0.20079759667882185,False,False,True,DP
SmallIrregular,0.8895206160687223,0.3514555453985324,0.6297996331375301,0.20079759667882185,False,False,True,DP
neg_control,0.999919275785583,0.1046719173109949,0.7858290558083584,0.1046719173109949,False,False,True,DP
