Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled,feature_type
ADCCM,0.9316800430057041,1.938700723389447,0.02485729764055553,1.604546087423559,True,True,False,CP_DP
Anaphase,0.979688920345017,1.945356106327837,0.02485729764055553,1.604546087423559,True,True,False,CP_DP
Apoptosis,0.9945202919065149,1.9820361001423294,0.02485729764055553,1.604546087423559,True,True,False,CP_DP
Binuclear,0.9470229254576509,1.134108101393846,0.08322418692583292,1.0797504390712533,False,False,False,CP_DP
Elongated,0.973967152256668,1.8642693249207651,0.02485729764055553,1.604546087423559,True,True,False,CP_DP
Folded,0.8506773031719079,1.1805103502061813,0.08013284010779141,1.0961894645061454,False,False,False,CP_DP
Grape,0.9689692288591537,1.9587414862940253,0.02485729764055553,1.604546087423559,True,True,False,CP_DP
Hole,0.9248435272811344,1.6044673448686726,0.03251159110338877,1.4879617757972354,True,True,False,CP_DP
Interphase,0.9617787532790432,0.693164279444167,0.21535980994447704,0.6668353407218178,False,False,False,CP_DP
Large,0.9324452508944446,1.610971496413202,0.03251159110338877,1.4879617757972354,True,True,False,CP_DP
Metaphase,0.9603694045856828,1.8360346156281728,0.02485729764055553,1.604546087423559,True,True,False,CP_DP
MetaphaseAlignment,0.9860182820268817,1.9370471274716086,0.02485729764055553,1.604546087423559,True,True,False,CP_DP
OutOfFocus,0.9952323453365595,1.9919515673248533,0.02485729764055553,1.604546087423559,True,True,False,CP_DP
Polylobed,0.9855948615849739,1.6107252293956231,0.03251159110338877,1.4879617757972354,True,True,False,CP_DP
Prometaphase,0.9947669412161237,1.9547100629382286,0.02485729764055553,1.604546087423559,True,True,False,CP_DP
SmallIrregular,0.968673222878123,1.834995008801833,0.02485729764055553,1.604546087423559,True,True,False,CP_DP
neg_control,0.9999438251652664,0.0202045169319114,0.9545429690424581,0.02020451693191138,False,False,False,CP_DP
