Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled,feature_type
ADCCM,0.879297177779922,1.7188044564485845,0.040602659206841966,1.3914455220622541,True,True,False,DP
Anaphase,0.9489973041199968,1.7353502973266983,0.040602659206841966,1.3914455220622541,True,True,False,DP
Apoptosis,0.9871757398127428,1.8814490197445537,0.040602659206841966,1.3914455220622541,True,True,False,DP
Binuclear,0.9425155942203401,1.0434786816573438,0.10499362775025946,0.9788370582336632,False,False,False,DP
Elongated,0.96223232034976,1.7338784618464944,0.040602659206841966,1.3914455220622541,True,True,False,DP
Folded,0.8351780291469235,1.033194720556256,0.10499362775025946,0.9788370582336632,False,False,False,DP
Grape,0.9449539946246527,1.885054547429233,0.040602659206841966,1.3914455220622541,True,True,False,DP
Hole,0.9155021647006784,1.5201057441604693,0.05132668045218978,1.2896568227821954,True,False,False,DP
Interphase,0.9607425590720412,0.6326371579154964,0.24756644526816524,0.6063082191931473,False,False,False,DP
Large,0.9018999072201518,1.4276527218189263,0.0534043843883668,1.272423086838295,True,False,False,DP
Metaphase,0.9150124864693967,1.3688824558592279,0.05592720467843226,1.2523768867877907,True,False,False,DP
MetaphaseAlignment,0.9730168462226897,1.7276936406081496,0.040602659206841966,1.3914455220622541,True,True,False,DP
OutOfFocus,0.9938073035799548,1.988454686479139,0.040602659206841966,1.3914455220622541,True,True,False,DP
Polylobed,0.9821694716618458,1.4236907621689443,0.0534043843883668,1.272423086838295,True,False,False,DP
Prometaphase,0.9918165634824521,1.8731110598499359,0.040602659206841966,1.3914455220622541,True,True,False,DP
SmallIrregular,0.9550237454788509,1.6477636186824023,0.04250527137305212,1.3715572067434532,True,True,False,DP
neg_control,0.999943864295595,0.020288461955039562,0.9543584827287969,0.020288461955039565,False,False,False,DP
