Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled
ADCCM,0.9305681653342313,1.8872755193212063,0.028412285918338987,1.5464938235884624,True,True,False
Anaphase,0.972649594189379,1.8931159222809948,0.028412285918338987,1.5464938235884624,True,True,False
Apoptosis,0.9919378086761325,1.9373439591588824,0.028412285918338987,1.5464938235884624,True,True,False
Binuclear,0.9526189955584352,1.2720009137214616,0.06058383326789839,1.2176432513988689,False,False,False
Elongated,0.9761290306309205,1.852853130209663,0.028412285918338987,1.5464938235884624,True,True,False
Folded,0.8699807172327647,1.3432934550341096,0.055084248731273294,1.2589725693340736,True,False,False
Grape,0.9600266964403857,1.9315692813130039,0.028412285918338987,1.5464938235884624,True,True,False
Hole,0.92773101527385,1.6364458130078554,0.03020367274479242,1.5199402439364182,True,True,False
Interphase,0.9622624752660014,0.7260603944989387,0.19964964588165,0.6997314557765895,False,False,False
Large,0.9403080866514097,1.677416050937744,0.03020367274479242,1.5199402439364182,True,True,False
Metaphase,0.9551441047272003,1.7364128165376627,0.03020367274479242,1.5199402439364182,True,True,False
MetaphaseAlignment,0.9831095420153322,1.882484312006557,0.028412285918338987,1.5464938235884624,True,True,False
OutOfFocus,0.9937413622908055,1.9792865233302943,0.028412285918338987,1.5464938235884624,True,True,False
Polylobed,0.9868749028142753,1.6412316867197594,0.03020367274479242,1.5199402439364182,True,True,False
Prometaphase,0.9923388055801556,1.9051406337412158,0.028412285918338987,1.5464938235884624,True,True,False
SmallIrregular,0.9705791937837871,1.8227002355274116,0.028412285918338987,1.5464938235884624,True,True,False
neg_control,0.9999449057409582,0.021200606481933663,0.9523561562482281,0.021200606481933684,False,False,False
