Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled
ADCCM,0.8207227457934257,0.30414009717715546,0.587807823107747,0.23076463821931475,False,False,True
Anaphase,0.7911285328159985,0.26490616150399104,0.587807823107747,0.23076463821931475,False,False,True
Apoptosis,0.9250727254940972,0.315404808650967,0.587807823107747,0.23076463821931475,False,False,True
Binuclear,0.8938735680567202,0.30665429226229746,0.587807823107747,0.23076463821931475,False,False,True
Elongated,0.8405168855217915,0.3295550502330176,0.587807823107747,0.23076463821931475,False,False,True
Folded,0.7320759737918924,0.34107099272353386,0.587807823107747,0.23076463821931475,False,False,True
Grape,0.7716379612494517,0.3020844132259345,0.587807823107747,0.23076463821931475,False,False,True
Hole,0.8439313771619442,0.3057982018337451,0.587807823107747,0.23076463821931475,False,False,True
Interphase,0.9462717956801159,0.3064206554812414,0.587807823107747,0.23076463821931475,False,False,True
Large,0.799485562626372,0.4124830673098959,0.587807823107747,0.23076463821931475,False,False,True
Metaphase,0.784680159956739,0.25709357694166396,0.587807823107747,0.23076463821931475,False,False,True
MetaphaseAlignment,0.8928045648955171,0.33629936065481536,0.587807823107747,0.23076463821931475,False,False,True
OutOfFocus,0.9189427453210994,0.2880200275717682,0.587807823107747,0.23076463821931475,False,False,True
Polylobed,0.9385902216380573,0.2964390078626648,0.587807823107747,0.23076463821931475,False,False,True
Prometaphase,0.9359952369098548,0.2959397705404808,0.587807823107747,0.23076463821931475,False,False,True
SmallIrregular,0.8901582625190678,0.3453918303599862,0.587807823107747,0.23076463821931475,False,False,True
neg_control,0.9999214029994646,0.1065964639211634,0.7823544120309239,0.10659646392116338,False,False,True
