Mitocheck_Phenotypic_Class,Metadata_is_control,Cell_UUID,Location_Center_X,Location_Center_Y,Metadata_Plate,Metadata_Well,Metadata_Frame,Metadata_Site,Metadata_Plate_Map_Name,Metadata_DNA,Metadata_Gene,Metadata_Gene_Replicate,average_precision,p_value,n_pos_pairs,n_total_pairs,shuffled
neg_control,0,109cd0a6-97dd-4c77-9de0-7cc1b084aaf2,901,436,LT0010_27,173,83,1,LT0010_27_173,LT0010_27/LT0010_27_173_83.tif,RAB21,1,1.0,1.0,7768,7768,True
neg_control,0,d4b75ce8-18b0-434b-9436-4decbff1aead,601,331,LT0010_27,173,83,1,LT0010_27_173,LT0010_27/LT0010_27_173_83.tif,RAB21,1,1.0,1.0,7768,7768,True
neg_control,0,372c1123-1445-4149-a509-04fcf1358abd,981,516,LT0010_27,173,83,1,LT0010_27_173,LT0010_27/LT0010_27_173_83.tif,RAB21,1,1.0,1.0,7768,7768,True
neg_control,0,5e6a06d4-2920-4926-baa3-e3180d874d06,885,411,LT0010_27,173,83,1,LT0010_27_173,LT0010_27/LT0010_27_173_83.tif,RAB21,1,1.0,1.0,7768,7768,True
neg_control,0,465028c5-2309-40ac-ae2f-edaf1add933c,1174,757,LT0010_27,173,83,1,LT0010_27_173,LT0010_27/LT0010_27_173_83.tif,RAB21,1,1.0,1.0,7768,7768,True
neg_control,0,9f99cd26-b707-4915-81fa-9646d1e19331,1026,709,LT0010_27,173,83,1,LT0010_27_173,LT0010_27/LT0010_27_173_83.tif,RAB21,1,1.0,1.0,7768,7768,True
neg_control,0,d2187d10-eff4-4be1-9bbd-4771844dce1f,986,419,LT0010_27,173,83,1,LT0010_27_173,LT0010_27/LT0010_27_173_83.tif,RAB21,1,1.0,1.0,7768,7768,True
neg_control,0,009a4190-7583-4821-9a17-737f0485d252,236,725,LT0010_27,173,83,1,LT0010_27_173,LT0010_27/LT0010_27_173_83.tif,RAB21,1,1.0,1.0,7768,7768,True
neg_control,0,defefcd5-4b2e-4bb9-b42f-5f0a00066307,632,349,LT0010_27,173,83,1,LT0010_27_173,LT0010_27/LT0010_27_173_83.tif,RAB21,1,1.0,1.0,7768,7768,True
neg_control,0,5b3ef5d8-0c13-4f0a-95a5-76f40d9222d1,567,358,LT0010_27,173,83,1,LT0010_27_173,LT0010_27/LT0010_27_173_83.tif,RAB21,1,1.0,1.0,7768,7768,True
neg_control,0,9f4b9044-8882-451e-958f-57baccb90e64,843,294,LT0010_27,173,83,1,LT0010_27_173,LT0010_27/LT0010_27_173_83.tif,RAB21,1,1.0,1.0,7768,7768,True
neg_control,0,10632c54-fb51-40b2-8464-953b771f1738,961,492,LT0010_27,173,83,1,LT0010_27_173,LT0010_27/LT0010_27_173_83.tif,RAB21,1,1.0,1.0,7768,7768,True
neg_control,0,9fab8311-2c40-405b-bf94-d7b8f252fe6c,639,382,LT0010_27,173,83,1,LT0010_27_173,LT0010_27/LT0010_27_173_83.tif,RAB21,1,1.0,1.0,7768,7768,True
neg_control,0,2b3356af-0e04-4614-824a-18a79fec4d44,1036,447,LT0010_27,173,83,1,LT0010_27_173,LT0010_27/LT0010_27_173_83.tif,RAB21,1,1.0,1.0,7768,7768,True
neg_control,0,71f0b3bc-c68f-4b6f-9e3d-3c329b1ecf82,1242,638,LT0010_27,173,83,1,LT0010_27_173,LT0010_27/LT0010_27_173_83.tif,RAB21,1,1.0,1.0,7768,7768,True
neg_control,0,5bb397bf-0fa2-4c48-a536-c046343792b4,598,711,LT0010_27,173,83,1,LT0010_27_173,LT0010_27/LT0010_27_173_83.tif,RAB21,1,1.0,1.0,7768,7768,True
neg_control,0,9bbecf9e-9fd0-4a65-90dc-b20d80a4587d,831,260,LT0010_27,173,83,1,LT0010_27_173,LT0010_27/LT0010_27_173_83.tif,RAB21,1,1.0,1.0,7768,7768,True
neg_control,0,f74ce97f-5862-419b-a9a8-44ad53d332a2,1152,69,LT0010_27,173,83,1,LT0010_27_173,LT0010_27/LT0010_27_173_83.tif,RAB21,1,1.0,1.0,7768,7768,True
